feat,lrp
TFs_and_others_DCP1A,1.5412333970952242e-06
TFs_and_others_ZMAT5,6.975698090398381e-07
TFs_and_others_NKX6-1,1.0062705192671532e-06
TFs_and_others_ZNF677,2.3744717873609035e-06
Histone_H2AT120ph,1.454246655299983e-07
TFs_and_others_ETV3,2.075836154809053e-07
TFs_and_others_ZNF839,-1.415814014183336e-07
TFs_and_others_LHX4,-1.9886264076776545e-07
TFs_and_others_PLAG1,-6.634046555294426e-07
Histone_H3R2me2,2.470757003631028e-07
TFs_and_others_DNAJC2,-5.166730518407256e-06
TFs_and_others_CCDC101,-4.182559250786473e-06
TFs_and_others_SOX10,-1.3024597334362032e-05
TFs_and_others_ZNF569,1.0277026489396402e-08
TFs_and_others_MLL-AF4,4.859287485687391e-05
TFs_and_others_RLF,5.953450874354498e-05
TFs_and_others_GATA2,0.00017333362818098945
TFs_and_others_ZNF764,1.1726458016173846e-05
TFs_and_others_CHAF1A,1.3367526423599977e-05
TFs_and_others_ETV1,2.2287152967140555e-06
TFs_and_others_MED26,3.308075133854295e-06
TFs_and_others_CDC73,3.7561331342300415e-06
Histone_H2AK119Ub,1.0568955510535967e-05
TFs_and_others_GRHL3,6.309687298761558e-05
TFs_and_others_TCEAL8,8.131172006982088e-05
TFs_and_others_SMARCA4,0.00023287413242051503
TFs_and_others_PRDM11,2.051740883778645e-05
TFs_and_others_ZSCAN32,2.1287961289609106e-05
Histone_H4K5K8K12K16ac,7.000159860040934e-06
TFs_and_others_RB1,-4.321556864814235e-07
TFs_and_others_C17orf49,-1.5875873966138095e-06
RNA_polymerase_POLR3B,-5.128030487148962e-06
TFs_and_others_LBX2,-2.2366496986046973e-07
TFs_and_others_GATAD2A,2.798668012010128e-07
TFs_and_others_ZFP42,8.349827294016259e-07
Histone_H4K20me1,2.3642751574309813e-06
Histone_H3.1,-4.240312323653343e-08
TFs_and_others_NEDD4,-2.5161597459070424e-07
TFs_and_others_CDX2,-1.045767627391434e-06
TFs_and_others_IRX2,-7.941529775856244e-08
TFs_and_others_TCEB3,1.4568163099469204e-08
TFs_and_others_MZF1,-2.2445896360274204e-07
TFs_and_others_ZBED2,-4.6614694108314957e-07
TFs_and_others_WDHD1,-6.621192185392853e-08
TFs_and_others_ATF7,-6.883284296817734e-07
TFs_and_others_ORC2,-6.642451188860155e-07
TFs_and_others_HMGXB4,-3.434958828177175e-06
TFs_and_others_SLBP,-1.9040996474364752e-06
TFs_and_others_TBP,-5.70748780774311e-06
TFs_and_others_ZNF248,-7.178235025586989e-07
TFs_and_others_HDAC9,-3.5335793300413027e-06
TFs_and_others_CHD6,-8.556199006811709e-06
TFs_and_others_TRP47,-1.3801124149086613e-05
Histone_H4K4me3,-1.7177413431512524e-05
TFs_and_others_USF2,1.0765947678101506e-05
TFs_and_others_TAF7,1.3600805744382157e-05
TFs_and_others_FOSL1,3.727188272558588e-05
TFs_and_others_ARNTL2,3.5891229056872025e-06
TFs_and_others_POLH,4.034966224587322e-06
TFs_and_others_HOXC13,1.6214250069507564e-07
TFs_and_others_ARID3A,7.904363618457287e-07
TFs_and_others_YY2,7.695912405449522e-07
TFs_and_others_CHD4,1.386912042544011e-06
TFs_and_others_ZNF416,7.175517564789617e-07
TFs_and_others_SMCHD1,2.391685000856096e-07
TFs_and_others_PITX1,6.535961311530832e-07
TFs_and_others_ZNF619,1.4431532467158926e-06
TFs_and_others_ZNF169,1.9379256856106714e-06
TFs_and_others_TBX21,1.270747154112814e-06
TFs_and_others_IRF4,6.827312517453215e-07
TFs_and_others_ZHX2,-4.1100739938911005e-06
TFs_and_others_THOC5,-5.3289088213284485e-06
TFs_and_others_PIAS1,-1.0078394486004637e-05
TFs_and_others_ZBTB17,-2.3776946411540614e-06
TFs_and_others_TRERF1,-4.439074417250135e-07
TFs_and_others_ZNF79,-1.4959921550712246e-06
TFs_and_others_ZNF2,-1.5656315518801616e-06
TFs_and_others_CTCFL,1.050415503030772e-05
TFs_and_others_ARID3B,2.618228689638361e-05
TFs_and_others_ATF1,7.43541757780001e-05
TFs_and_others_ZMIZ1,8.531017378219804e-06
TFs_and_others_HMGA1,7.90417109942873e-06
TFs_and_others_ZNF75A,2.5262938117392703e-07
TFs_and_others_MSX2,3.4668494934800374e-07
TFs_and_others_ZNF202,1.1456424353438422e-07
TFs_and_others_ZNF407,1.1819058232027127e-06
TFs_and_others_ZNF816,1.1051596916620613e-06
TFs_and_others_KLF10,3.2807362726363696e-06
TFs_and_others_ZBTB21,2.710559571839527e-07
TFs_and_others_ZBTB7B,4.3254113796544585e-07
TFs_and_others_HDGF,3.0512678166318784e-07
TFs_and_others_NUDT21,3.383251079174952e-07
TFs_and_others_RBBP5,8.917413319053274e-07
TFs_and_others_ALYREF,1.35670526149959e-07
TFs_and_others_HOMEZ,5.152547850433901e-07
TFs_and_others_TERF2,4.3898775330446776e-08
TFs_and_others_THAP8,2.924781443319726e-07
TFs_and_others_ZNF680,2.6756381716971e-07
TFs_and_others_RNASEH2A,9.640107656085188e-07
TFs_and_others_THRAP3,1.8429865250969613e-05
TFs_and_others_RXRB,2.3041544798938596e-05
TFs_and_others_OTX2,6.116032011569973e-05
TFs_and_others_MNT,5.5249585401894165e-06
TFs_and_others_NAIF1,3.6029914909909446e-06
TFs_and_others_HHV UL87,-4.478411081000015e-08
TFs_and_others_RBM14,-1.793369995005853e-06
TFs_and_others_SETX,-2.1111045549725207e-06
TFs_and_others_NOTCH1,-6.052653795699059e-06
TFs_and_others_SRSF3,-5.267449278824713e-07
TFs_and_others_ZNF544,-6.679968801488961e-07
TFs_and_others_MYBL1,-1.090116791209725e-06
TFs_and_others_ZFHX2,-3.1991285110079907e-06
TFs_and_others_KAT2A,-1.7666257989051959e-06
TFs_and_others_FUS,-2.3248311186581033e-06
TFs_and_others_USP7,-6.049032689216888e-06
TFs_and_others_ZNF114,-6.836870464370768e-07
TFs_and_others_HOXA6,-6.107582734741822e-07
TFs_and_others_MLLT6,-1.3357751838109039e-06
TFs_and_others_CREBL2,-2.2022897460842916e-06
TFs_and_others_BCL6,-6.115401306673764e-06
TFs_and_others_ZNF785,-1.2244372889804328e-06
TFs_and_others_PCGF5,-1.774468988846419e-06
TFs_and_others_SOX13,-2.325158410488805e-06
Histone_H1.5,-2.3422168814866826e-07
TFs_and_others_OLA1,-8.952162142483531e-07
TFs_and_others_ZNF451,-5.474934934772994e-07
TFs_and_others_SMARCA2,-1.4393815085833279e-06
TFs_and_others_ADNP,1.1651825031616821e-06
TFs_and_others_ZNF92,2.5139511425088085e-06
TFs_and_others_ELK3,1.2339503786261826e-06
TFs_and_others_DDX20,2.7373207548798954e-06
TFs_and_others_GUCY1B3,4.182473790837143e-07
TFs_and_others_ZBTB20,1.2635797153440043e-06
Histone_H4K12me1,3.1066378839879506e-07
TFs_and_others_AAV Rep68,3.4797305410968047e-07
TFs_and_others_ZBTB43,2.8048958412170874e-05
TFs_and_others_ZNF596,4.26797288878632e-05
Histone_H3K9ac,0.00012502860921976
TFs_and_others_ZNF221,2.1902372836279592e-05
Histone_H3K56ac,4.782035155860525e-05
TFs_and_others_SP5,4.085250601536216e-06
TFs_and_others_WAPL,4.562178255760195e-06
TFs_and_others_ZNF512,1.2025024259014223e-06
TFs_and_others_KLF6,1.1440498728738649e-06
TFs_and_others_AATF,3.642870862237749e-07
TFs_and_others_LRRFIP1,5.280486198660634e-07
TFs_and_others_ZMYND8,9.371160227394424e-07
TFs_and_others_NR5A2,1.0961391659990777e-07
TFs_and_others_ZNF197,2.5255128147201494e-07
TFs_and_others_NPAT,2.4854829828196887e-06
TFs_and_others_AIM2,9.898755249830524e-06
TFs_and_others_TWIST1,2.191141701471966e-05
TFs_and_others_SMARCC2,1.7108787307176823e-05
TFs_and_others_Cyclobutane pyrimidine dimers,2.343978072428299e-06
TFs_and_others_CRTC1,1.0260145935667617e-06
TFs_and_others_ZNF395,-2.7175748421794144e-07
TFs_and_others_PBXIP1,2.278617101635045e-08
TFs_and_others_UBE3A,-2.0405342602065275e-08
TFs_and_others_GLI4,2.721985808327637e-07
TFs_and_others_ELANE,4.294552051342338e-08
TFs_and_others_XPO1,6.205410132574724e-07
TFs_and_others_PATZ1,-2.063991457834725e-07
TFs_and_others_PPP2R1A,3.489919447036327e-07
TFs_and_others_SP2,1.4486740740315475e-06
TFs_and_others_OSR1,1.6836287771895517e-07
TFs_and_others_RBL1,8.522100325277591e-07
TFs_and_others_METTL14,1.029104963478983e-06
TFs_and_others_CDT1,2.855570505718633e-06
TFs_and_others_HES5,-1.3306038686109642e-07
TFs_and_others_ZNF366,-2.2062548341901734e-07
TFs_and_others_GRHL1,-1.9666459947e-06
TFs_and_others_ZNF543,-8.296866973320259e-07
TFs_and_others_CUL4A,-0.0001059391787589781
TFs_and_others_TGIF2,-0.00013391812086589584
TFs_and_others_CTCF,-0.00038538378686008164
TFs_and_others_BATF3,-3.580596397593445e-05
TFs_and_others_BCL11A,-2.9792677608371735e-05
TFs_and_others_S100A10,-1.0504103327468494e-06
TFs_and_others_MAFB,-2.529730258274475e-06
TFs_and_others_CBX7,-7.30570777268974e-07
TFs_and_others_ZNF547,-2.056025575314948e-06
TFs_and_others_HOXA11,-3.485868562038908e-05
TFs_and_others_SOX6,-4.5881007228631203e-05
Histone_H4K5K8ac,-0.00011804309429648655
TFs_and_others_XBP1,-8.192137210001889e-06
TFs_and_others_WIZ,-7.907187251959316e-06
TFs_and_others_PRKDC,2.7487699375167253e-07
TFs_and_others_INSM2,-9.623148798384607e-07
TFs_and_others_PHF2,-5.498683250943662e-07
TFs_and_others_SP7,-1.4136130285354347e-06
TFs_and_others_THAP1,6.53323283849986e-06
TFs_and_others_HOXB7,7.937247699945713e-06
TFs_and_others_DOT1L,2.264416549476879e-05
TFs_and_others_SRSF9,1.9594628763743293e-06
TFs_and_others_ZNF276,2.0381675282803588e-06
TFs_and_others_CDK11A,1.8487851913460328e-06
TFs_and_others_AHRR,2.3679610430928143e-06
TFs_and_others_TBX5,5.502778259645878e-05
TFs_and_others_KAT2B,5.897490043735659e-05
TFs_and_others_GATA3,0.0001702596043114231
TFs_and_others_NKRF,1.2144394459822922e-05
TFs_and_others_SIPA1,2.946915322626517e-05
TFs_and_others_INTS13,1.8224050257146952e-05
TFs_and_others_NCOA3,5.4319622674600384e-05
TFs_and_others_HOXB4,2.12672652176282e-06
TFs_and_others_BRPF1,2.1486918056806233e-06
TFs_and_others_GABPB1,2.7969945941905123e-06
TFs_and_others_ELF4,9.48803534886229e-06
TFs_and_others_BRD4,2.2696713385672263e-05
TFs_and_others_MEF2B,4.5892385658614385e-06
TFs_and_others_POU6F1,2.7710684837601097e-06
Histone_H3K14cr,1.1961957831264381e-08
TFs_and_others_ZNF292,6.814027563669692e-08
Histone_H3K18ub,2.518003087081606e-08
TFs_and_others_ZNF626,-6.783548063805007e-06
TFs_and_others_NFRKB,-9.266095861092338e-06
TFs_and_others_MKL2,-2.694964705233374e-05
TFs_and_others_ZNF257,-2.0706600322318755e-06
TFs_and_others_ZSCAN29,-2.615390421852269e-06
TFs_and_others_AHCTF1,-5.283008040965877e-08
TFs_and_others_ZNF576,-8.528352399887779e-08
TFs_and_others_ZNF230,3.918655458032702e-08
TFs_and_others_ZNF510,-7.291726437286801e-07
TFs_and_others_DRAP1,0.00011071119563260578
TFs_and_others_TP53BP1,0.00012502219192379315
Histone_H3K36me3,0.0003680807933796491
TFs_and_others_ZNF556,2.7280864711739515e-05
TFs_and_others_STAT1,3.633787940599504e-05
TFs_and_others_RELA,3.027859666188547e-05
TFs_and_others_TRMT112,4.974984371502012e-06
TFs_and_others_NETO2,5.805555454693682e-06
TFs_and_others_ERCC8,1.8744086130553195e-07
Histone_H3K36me1,-4.625465876614897e-06
TFs_and_others_MCRS1,-5.717584876031055e-06
TFs_and_others_HDAC1,-1.619619863175164e-05
TFs_and_others_TDRD3,-1.119129521841386e-06
TFs_and_others_MDN1,-3.2230288881496378e-06
TFs_and_others_KLF1,-3.2311082511609784e-06
TFs_and_others_KDM2B,-9.405950974754497e-06
TFs_and_others_GMEB1,-6.986183131280357e-07
TFs_and_others_ZNF184,-2.9851161622447747e-06
TFs_and_others_HES2,5.918689922494475e-06
RNA_polymerase_POLR3D,1.0722987080678685e-05
TFs_and_others_NEUROD1,5.898211192204665e-05
TFs_and_others_PRDM12,2.0276770883416997e-05
TFs_and_others_ASPSCR1,5.123377935333826e-05
TFs_and_others_MTA2,2.0434822356375905e-05
TFs_and_others_ARID1A,2.799454274829186e-05
RNA_polymerase_POLR3E,-3.920645119512847e-06
TFs_and_others_SIRT3,3.1204889003308278e-06
TFs_and_others_SNAPC2,2.0847307920213584e-06
TFs_and_others_CBX3,8.91470734004167e-06
TFs_and_others_HSF4,1.469549620018876e-06
TFs_and_others_E2F4,3.855813683701001e-06
TFs_and_others_RERE,2.3196788893929754e-06
TFs_and_others_ZNF30,3.1287288486339583e-06
TFs_and_others_FOXO1,6.628982983161541e-06
TFs_and_others_BHLHE40,3.0494304243675766e-07
TFs_and_others_ZNF592,-9.426861938517508e-07
TFs_and_others_ZNF224,-1.5048392428091772e-06
TFs_and_others_GGCT,-0.0002160558778667811
TFs_and_others_Pan-acetyllysine,-0.00026939370872345475
Histone_H3K27me3,-0.0007748128321829426
TFs_and_others_PRAME,-5.321683279152484e-05
TFs_and_others_ID2,-5.250217380590705e-05
TFs_and_others_ING2,-9.222024278656933e-07
TFs_and_others_ELL2,2.519289769646308e-06
TFs_and_others_DPF2,-1.3641759072610877e-06
TFs_and_others_RUNX1,-1.4423719944390297e-06
TFs_and_others_MED13,-4.092530740716243e-08
TFs_and_others_ELL,-1.1839930349698787e-06
TFs_and_others_SIRT6,-1.301013121798997e-06
TFs_and_others_TCF12,-4.20976044379274e-06
TFs_and_others_ZKSCAN3,-4.579738373864057e-07
TFs_and_others_MDM2,-6.130939111742846e-07
TFs_and_others_PPP1R10,-2.6320984260197334e-05
TFs_and_others_PPP2CA,-4.704696335960721e-05
TFs_and_others_ESR1,-0.00013067027464489704
Histone_H3K27me1,-1.279940849005761e-05
TFs_and_others_HDAC6,-1.4200369352152876e-05
TFs_and_others_ZNF775,2.5776465031176863e-06
TFs_and_others_ZNF391,3.3341177618445837e-06
TFs_and_others_SRF,1.0464868744555736e-05
TFs_and_others_HOXD1,1.7494975526332295e-06
TFs_and_others_TBX2,3.40479472890057e-06
TFs_and_others_ELF1,1.6854897723265926e-06
TFs_and_others_ILK,-1.8076645957793553e-06
Histone_H3K23ac,-1.6148218534077578e-06
Histone_H4K16ac,-3.924117777044244e-06
TFs_and_others_ZNF707,1.0291827034821662e-06
